Category,Name,AppointmentDate,La,Lo,Place,Notes,Degree
Education,Joseph S. Ackley,2014,40.808059,-73.964008,Columbia University,Mellon Postdoctoral Teaching Fellow in the Department of Art History and Archaeology.,PhD 2014
Education,Jennifer Babcock,2014,40.729768,-73.994921,"ISAW, NYU",Curatorial Postdoctoral Associate.,PhD 2014
,,,,,,,
Curatorial,"Esther Bell, Ph.D.",2014,37.784466,-122.500842,Fine Arts Museums of San Francisco,"Curator in Charge, European Paintings.",PhD 2011
Curatorial,"Michael Brown, Ph.D.",2014,32.731837,-117.149591,San Diego Museum of Art,Associate Curator of European Art.,PhD 2011
Education,"Miriam Basili, oPh.D.",2014,40.729768,-73.994921,NYU,Associate Professor of Art History and Museum Studies.,PhD 2002
Curatorial,"Denise Lynn Birkhofer, Ph.D.",2014,41.292312,-82.216473,Oberlin,Curator of Modern and Contemporary Art.,PhD 2013
Education,Sheila Dillon,2014,41.919769,-91.649501,Duke University,"Chairperson, Department of Art.",PhD 1994
Education,Ana M. Franco,2014,4.601586,-74.065274,Universidad de los Andes,Assistant Professor.,PhD 2012
Curatorial,Aimee E Froom,2014,29.72568,-95.390482,"Museum of Fine Arts, Houston.",Curator of Islamic art.,PhD 2001
Curatorial,Kathryn Gunsch,2014,39.325918,-76.61917,Baltimore Museum of Art,Teel Curator of African and Oceanic Art.,PhD 2012
Education,Maile Hutterer,2014,44.04483,-123.072606,University of Oregon,Assistant Professor.,PhD 2011
Non-profit Arts Administration,Mary Levkoff,2014,35.685208,-121.168225,Hearst Castle,,MA 1978
For-profit Arts Profession,Mark Loiacano,2014,40.719005,-73.987354,Lisa Cooley Gallery,Director of Lisa Cooley Gallery.,MA 2005
Education,Sarah Madole,2014,40.76874,-73.95978, Marymount Manhattan College,Adjunct Professor.,PhD 2012
Non-profit Arts Administration,Kellie Morgan,2014,40.000684,-83.009392,Wexner Center for the Arts,Community Outreach and Marketing Manager for the Wexner Center for the Arts.,MA 2010
Non-profit Arts Administration,Erika Nelsen,2014,47.607262,-122.338144,Seattle Art Museum,Grants Manager for the Seattle Art Museum.,MA 2012
Education,Adele Nelson,2014,39.983461,-75.153377,Tyler School of Art," Professsor of Art History at the Tyler School of Art, was awarded Fulbright ScholarshipOpen Link in New Window for 2014-2015.",PhD 2012
Curatorial,Lelia Packer,2014,51.508929,-0.128299,The National Gallery in London,"appointed McCrindle Curatorial Assistant, The National Gallery in London.",PhD 2012
Curatorial,Tricia Paik,2014,39.825502,-86.185097,Indianapolis Museum of Art,"appointed Curator of Contemporary Art,Indianapolis Museum of Art.",PhD 2009
Non-profit Arts Administration,Karin Ann Sanders,2014,40.7465,-74.001374,Paul Ickovic Foundation,Collection Director.,MA 2013
Non-profit Arts Administration,Stephanie Stebich,0,47.247498,-122.437037,Tacoma Art Museum,,MA 1998
Non-profit Arts Administration,Angus Trumble,2014,-35.299383,149.131527,Australia's National Portrait Gallery,,MA 1998
,,,,,,,
Curatorial,Jeffrey Uslip,2014,38.64061,-90.234879,Contemporary Art Museum St. Louis.,Chief curator.,PhD Candidate
"Editors, Writers or Publishers",Julianna White,2014,41.308333,-72.930451,Yale University Art Gallery,"Editorial Assistant, Publications and Editorial Services at Yale University Art Gallery.",MA 2013
Curatorial,"Andaleeb Badiee Banta,",2013,41.292312,-82.216473,Oberlin College,"Curator, European & American Art.",PhD 2007
Non-profit Arts Administration,Caroline Baumann,2013,40.784453,-73.957974,Cooper-Hewitt Museum,,MA 1990
Education,Laurel Diane Bestock,2013,41.826772,-71.402548,Brown University,Named Vartan Gregorian Assistant Professor.,PhD 2007
Curatorial,Cathleen Chaffee,2013,42.932453,-78.87566,Albright-Knox Art Gallery,Curator of Contemporary Art.,PhD 2013
Non-profit Arts Administration,Tia Chapman,2013,40.771181,-73.96735,The Frick Collection, Deputy Director for External Affairs.,MA 1993
Education,Maura Coughlin,2013,41.921068,-71.53827,Bryant University,Associate Professor of Visual Studies.,PhD 2001
Non-profit Arts Administration,Jason Dubs,2013,40.761433,-73.977622,Museum of Modern Art,Museum Research Consortium Project Manager,PhD 2012
Curatorial,Sarah Humphreville,2013,40.773423,-73.963818,Whitney Museum of American Art,Curatorial Assistant.,MA 2013
Education,Lauren Jacobi,2013,42.360091,71.09416,Massachusetts Institute of Technology.,"Assistant Professor, Department of Architecture.",PhD 2012
Curatorial,Ronda J. Kasl,2013,40.779187,-73.963535,Metropolitan Museum of ,Curator of Colonial Latin American Art.,PhD 2012
Education,Abby Kornfeld,2013,40.807536,-73.962573,City College of New York,Assistant Professor of Art History.,PhD 2013
Education,Areli Marina,2013,40.101952,-88.227161,University of Illinois at Urbana-Champaign,Received tenure.,PhD 2004
Non-profit Arts Administration,Nick Marmor,2013,42.360091,-71.09416,Massachusetts Institute of Technology,"Development Associate, Foundation Relations Office.",MA 2013
Education,Kathryn Blair Moore,2013,22.282999,114.137085,University of Hong Kong,Assistant Professor of Art History.,PhD 2011
Curatorial,Merribell M. Parsons,2013,29.437331,-98.482137,San Antonio Museum of Art.,Curator of European Art.,MA 1967
Curatorial,Stuart W. Pyhrr,2013,40.779187,-73.963535,Metropolitan Museum of Art,"Distinguished Research Curator, Department of Arms and Armor.",MA 1973
Curatorial,Marika Sardar,2013,32.731837,-117.149591,San Diego Museum of Art,"Associate Curator, Southern Asian and Islamic Art.",PhD 2007
Non-profit Arts Administration,Sarah Schroth,2013,41.919769,-91.649501,Duke University,,PhD 1990
Non-profit Arts Administration,Richard P. Townsend,2013,40.770216,-73.982737,Museum of Biblical Art,,MA 1989
Miscellaneous,Shellie Winkler,2013,40.728535,-74.007383,MSLGROUP North America,"Chief Strategy Officer, MSLGROUP North America",MA 1984
Conservation,Serena Urry,2012,39.114285,-84.497291,Cincinnati Art Museum,"Chief Conservatro, Cincinnati Art Museum.",Certificate in Conservation 1989
Education,Mark B. Abbe,,,,"University of Georgia, Lamar Dodd School of Art",Assistant Professor of Ancient Art,Certificate in Conservation 2007; PhD 2013
Education,Susan Louise Aberth,,,,Bard College,"Associate Professor, Art History Department",
Education,Dorothy H. Abramitis,,,,Metropolitan Museum of Art,"Conservator, Sherman Fairchild Center for Objects Conservation",Certificate in Conservation 1986
Education,James S. Ackerman,,,,Harvard University,"Professor Emeritus, Department of the History of Art and Architecture",MA 1947
Education,Ellen Adams,,,,Miami University,Assistant Professor,PhD 2007
Education,Nicholas Adams,,,,Vassar College,Professor of Art on the Mary Conover Mellon Chair,MA 1973
Education,Zainab al Bahrani,,,,Columbia University,Edith Porada Professor of Art History & Archaeology,PhD 1989
,,,,,,,
Education,Joseph D. Alchermes,,,,Connecticut College,Associate Professor,MA 1985
Conservation,Samantha Alderson,,,,American Museum of Natural History,"Associate Conservator of Objects, Anthropology Department",Certificate in Conservation 1994
Curatorial,Denise M. Allen,,,,The Metropolitan Museum of Art,"Curator, European Sculpture/Decorative Arts",1988
Education,Marta Elena Ameri,,,,Coby College,,PhD 2010
Curatorial,Lynne D. Ambrosini,,,,Taft Museum of Art,Chief Curator,PhD 1989
Curatorial,Dita G. Amory,,,,Metropolitan Museum of Art,Acting Associate Curator in Charge Robert Lehman Collection,MA 1988
Non-profit Arts Administration,Patrick Amsellem,,,,Skissernas Museum of Public Art,Museum Director,PhD 2007
Education,Michael J. Amy,,,,Rochester Institute of Technology,Associate Professor of Art History,PhD 1997
Education,Lilli Lonngren Anders,,,,Wagner College of Staten Island,Professor,PhD 1997
Education,Martha G. Anderson,,,,Alfred University,Professor of Art History,1976
Non-profit Arts Administration,Katherine Anne Andrews,,,,The Barnes Foundation,Corporate Programs Manager,MA 2007
Education,Lynn A. Angelo,,,,Davis Joint Unified School District,Teacher,PhD 1993
Conservation,Barbara A. Appelbaum,,,,Appelbaum & Himmelstein,Partner/Conservator,Certificate in Conservation 1973
Curatorial,Afsaneh Ardalan,,,,Arthur M. Sackler Museum,"Research Assistant, Islamic Department",MA 1990
Education,Kathleen Giles Arthur,,,,James Madison University,"Prof Emeritus of Art History, School of Visual & Performing Arts",1971
Curatorial,Joan C. Aruz,,,,Metropolitan Museum of Art,"Curator in Charge, Department of Ancient Near Eastern Art",PhD 1986
Conservation,Nancy E. Ash,,,,Philadelphia Museum of Art,Senior Conservator of Works of Art on Paper,Certificate in Conservation 1978
Non-profit Arts Administration,Victoria Adoracion Azurin,,,,American Museum of Natural History,Membership Associate,MA 2014
Non-profit Arts Administration,Sussan Babaie,,30.033901,31.213813,Binational Fulbright Commission in Egypt,Fulbright Regional Scholar,PhD 1994
Non-profit Arts Administration,Sherine Badawi Walton,,,,University of Southern California,"Deputy Director, USC Center on Public Diplomacy",MA 1998
Curatorial,Rhonda M. Baer,,,,Museum of Fine Arts Boston,Senior Curator of European Paintings,PhD 1990
Miscellaneous,Angela Tau Bailey,,30.332234,-81.655672,Bailey Family Holdings LLC,,MA 1988
Conservation,Sanchita Balachandran,,,,Johns Hopkins University ,"Curator/Conservator, Archaeology Museum",Certificate in Conservation 2003
Curatorial,Sanchita Balachandran,,,,Johns Hopkins University ,"Curator/Conservator, Archaeology Museum",Certificate in Conservation 2003
